,Stn_Code,Stn_Name,Coords,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
0,  SBK01 , Sungai Buloh," 3.20611, 101.58028 ",0,0,0,0,0,0,0,0,0,0
1,  SBK04 , Kwasa Damansara," 3.176472, 101.572556",0,0,0,0,0,0,0,0,0,0
2,  SBK05A , Teknologi," 3.1611833, 101.568194",0,0,0,0,0,0,0,0,0,0
3,  SBK07 , Surian," 3.1496278, 101.5935917",0,0,0,0,0,0,0,0,0,0
4,  SBK09 , Bandar Utama," 3.1466444, 101.6187472",0,0,0,0,0,0,0,0,0,0
5,  SBK12 , Phileo Damansara," 3.1292861, 101.6428917",0,0,0,0,0,0,0,0,0,0
6,  SBK13 , Pavilion Damansara Heights–Pusat Bandar Damansara," 3.1434111, 101.6622417",0,0,0,0,0,0,0,0,0,0
7,  SBK15 , Muzium Negara," 3.1373167, 101.6873361",0,0,0,0,0,0,0,0,0,0
8,  SBK17  , Merdeka," 3.1419694, 101.7020500",0,0,0,0,0,0,0,0,0,0
9,  SBK20 , Tun Razak Exchange," 3.1424028, 101.7201556",0,0,0,0,0,0,0,0,0,0
10,  SBK22 , AEON–Maluri," 3.1232611, 101.7269611",0,0,0,0,0,0,0,0,0,0
11,  SBK24 , Taman Midah,"3.104665,101.731852",0,0,0,0,0,0,0,0,0,0
12,  SBK26 , Taman Connaught,"3.077590,101.745905",0,0,0,0,0,0,0,0,0,0
13,  SBK28 , Sri Raya,"3.062527,101.772835",0,0,0,0,0,0,0,0,0,0
14,  SBK30 , Batu 11 Cheras,"3.043231,101.773114",0,0,0,0,0,0,0,0,0,0
15,  SBK33 , Sungai Jernih," 3.000750, 101.7840806",0,0,0,0,0,0,0,0,0,0
16,  SBK35 , Kajang," 2.98278, 101.79028",0,0,0,0,0,0,0,0,0,0
