,categories,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.postalCode,location.state,name,referralId
0,"[{'id': '4bf58dd8d48988d1e6941735', 'name': 'Golf Course', 'pluralName': 'Golf Courses', 'shortName': 'Golf Course', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/golfcourse_', 'suffix': '.png'}, 'primary': True}]",False,4d234354bcbf2c0fbaaa9be4,Elitis Gapura Senja,MY,Sungai Buloh,Malaysia,"Valencia, Sungai Buloh",885,"['Elitis Gapura Senja (Valencia, Sungai Buloh)', '47000 Sungai Buloh, Selangor', 'Malaysia']","[{'label': 'display', 'lat': 3.21171041752258, 'lng': 101.58594131469727}]",3.21171041752258,101.58594131469727,47000,Selangor,Valencia Golf Club,v-1598492988
1,"[{'id': '4bf58dd8d48988d1e6941735', 'name': 'Golf Course', 'pluralName': 'Golf Courses', 'shortName': 'Golf Course', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/golfcourse_', 'suffix': '.png'}, 'primary': True}]",False,5298374f11d2c10768593514,Valencia,MY,,Malaysia,,1344,"['Valencia', 'Selangor', 'Malaysia']","[{'label': 'display', 'lat': 3.214024182714299, 'lng': 101.58941418380923}]",3.214024182714299,101.58941418380923,,Selangor,Valencia Golf Course,v-1598492988
2,"[{'id': '4bf58dd8d48988d1e6941735', 'name': 'Golf Course', 'pluralName': 'Golf Courses', 'shortName': 'Golf Course', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/golfcourse_', 'suffix': '.png'}, 'primary': True}]",False,507d8976e4b04eb88cc87672,,MY,,Malaysia,,1164,['Malaysia'],"[{'label': 'display', 'lat': 3.216065411213695, 'lng': 101.58350541682958}]",3.216065411213695,101.58350541682958,,,Valencia Golf Course,v-1598492988
3,"[{'id': '4bf58dd8d48988d1e6941735', 'name': 'Golf Course', 'pluralName': 'Golf Courses', 'shortName': 'Golf Course', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/golfcourse_', 'suffix': '.png'}, 'primary': True}]",False,4fc974e2e4b0bd6553eedeeb,,MY,,Malaysia,,3283,['Malaysia'],"[{'label': 'display', 'lat': 3.2091275242027293, 'lng': 101.60966428259496}]",3.2091275242027293,101.60966428259496,,,golf,v-1598492988
4,"[{'id': '4bf58dd8d48988d1e6941735', 'name': 'Golf Course', 'pluralName': 'Golf Courses', 'shortName': 'Golf Course', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/golfcourse_', 'suffix': '.png'}, 'primary': True}]",False,4e277307d164bfc24f1936a1,,MY,Kota Damansara,Malaysia,,2414,"['Kota Damansara', 'Malaysia']","[{'label': 'display', 'lat': 3.1895728339774405, 'lng': 101.59433471332885}]",3.1895728339774405,101.59433471332885,,,Seri Malaysia Golf Course,v-1598492988
5,"[{'id': '4bf58dd8d48988d1e6941735', 'name': 'Golf Course', 'pluralName': 'Golf Courses', 'shortName': 'Golf Course', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/golfcourse_', 'suffix': '.png'}, 'primary': True}]",False,4bbe08588a4fb713d2b83d9d,Jalan BRP 2/1,MY,Sg. Buloh,Malaysia,Bukit Rahman Putra,3298,"['Jalan BRP 2/1 (Bukit Rahman Putra)', '40100 Sg. Buloh, Selangor', 'Malaysia']","[{'label': 'display', 'lat': 3.2189469469675847, 'lng': 101.55352811005402}]",3.2189469469675847,101.55352811005402,40100,Selangor,Kelab Rahman Putra Malaysia,v-1598492988
6,"[{'id': '4bf58dd8d48988d1e6941735', 'name': 'Golf Course', 'pluralName': 'Golf Courses', 'shortName': 'Golf Course', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/golfcourse_', 'suffix': '.png'}, 'primary': True}]",False,4ec902c20e017e2f9bb391c8,,MY,,Malaysia,,2905,['Malaysia'],"[{'label': 'display', 'lat': 3.184579724343208, 'lng': 101.5950511531832}]",3.184579724343208,101.5950511531832,,,Clearwater Santuary Golf Resort,v-1598492988
7,"[{'id': '4bf58dd8d48988d156941735', 'name': 'Malay Restaurant', 'pluralName': 'Malay Restaurants', 'shortName': 'Malay', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/malaysian_', 'suffix': '.png'}, 'primary': True}]",False,53c0c3a5498ed50a2f0edb61,Valencia Golf Club,MY,,Malaysia,,879,"['Valencia Golf Club', 'Malaysia']","[{'label': 'display', 'lat': 3.211758, 'lng': 101.585811}]",3.211758,101.585811,,,Golfer's Terrace,v-1598492988
8,"[{'id': '4bf58dd8d48988d162941735', 'name': 'Other Great Outdoors', 'pluralName': 'Other Great Outdoors', 'shortName': 'Other Outdoors', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/outdoors_', 'suffix': '.png'}, 'primary': True}]",False,51552e41e4b0ec23928d3d0b,,MY,,Malaysia,,3825,['Malaysia'],"[{'label': 'display', 'lat': 3.2394618692614996, 'lng': 101.58856449996773}]",3.2394618692614996,101.58856449996773,,,Saujan Golf and Country Club,v-1598492988
9,"[{'id': '4bf58dd8d48988d163941735', 'name': 'Park', 'pluralName': 'Parks', 'shortName': 'Park', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}, 'primary': True}]",False,54154a58498e7466df7ec38b,,MY,,Malaysia,,3796,['Malaysia'],"[{'label': 'display', 'lat': 3.1983367790217523, 'lng': 101.61353452659267}]",3.1983367790217523,101.61353452659267,,,Sri Damansara Golf Range,v-1598492988
